ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cjt4pofqa2myd0787a6qr89uf,cjt4p7xjj1f1x0bqp9px1r3cj,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F84c0ef23-0379-7c21-6a90-ac98b4ba0b04-01.jpg,"{""1"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330801000,355.896,01.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4pofqa2myd0787a6qr89uf
cjt4powql2n9i0787062ipijj,cjt4p7xjk1f210bqp65idkgd3,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F3c5295d9-aece-2156-d2ba-600611a54cbd-02.jpg,"{""2"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330823000,21.767,02.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4powql2n9i0787062ipijj
cjt4pp21x2m4x0814v88pcie8,cjt4p7xjk1f250bqpolgqheih,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F279de816-0a86-01ed-2d5a-b2ea7a821618-03.jpg,"{""3"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330830000,6.646,03.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4pp21x2m4x0814v88pcie8
cjt4pp8192nsz0797588zv3hi,cjt4p7xjk1f290bqp6p7fzfje,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F9bc3c486-7631-511e-8ee4-73f4f325bf0f-04.jpg,"{""4"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330837000,7.525,04.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4pp8192nsz0797588zv3hi
cjt4ppj8c2m6y0903hl8wlk8x,cjt4p7xjk1f2d0bqpqb2qrnbo,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F8497c2ea-265e-e12b-7154-e0c0b0852f8b-05.jpg,"{""5"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330852000,14.281,05.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4ppj8c2m6y0903hl8wlk8x
cjt4ppom62o5g0797c5e4qqbl,cjt4p7xjk1f2h0bqpriugih6x,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2Fe799d279-a254-86f0-9adb-98820646376c-06.jpg,"{""6"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330859000,6.752,06.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4ppom62o5g0797c5e4qqbl
cjt4ppwrs2nv107875x1mllyt,cjt4p7xjk1f2l0bqp0qckd9tz,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F9badf06b-5e66-f618-2f38-0cd89c646b71-07.jpg,"{""7"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330870000,10.322,07.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4ppwrs2nv107875x1mllyt
cjt4pq2er2niz0810v89pd1cw,cjt4p7xjk1f2p0bqpfagw86ng,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F02e89951-4ef6-64f6-c04b-9c95a077bd70-08.jpg,"{""8"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330877000,7.07,08.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4pq2er2niz0810v89pd1cw
cjt4pqfni2o820787rsfbi037,cjt4p7xjk1f2t0bqp7pe8fywj,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2Ffdac5df4-c2a3-dac7-ba04-e9bc634a2a2c-09.jpg,"{""9"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330894000,16.922,09.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4pqfni2o820787rsfbi037
cjt4pr0kd2o350810pujab6u5,cjt4p7xjk1f2x0bqp6frjlfwm,https://storage.googleapis.com/labelbox-193903.appspot.com/cjt4p5n1y2ecy0903i4a0m0l4%2F66396104-1709-4088-95fc-0a967f921b46-10.jpg,"{""10"":[{""geometry"":""POLYGON ((0 0, 0 28, 28 28, 28 0, 0 0))""}]}",sasha_kleszy@emerson.edu,Gishurru Ideogram Learner,1552330921000,26.815,10.jpg,,GishurruIdeogramJPGs,[],https://image-segmentation-v4.labelbox.com?project=cjt4p723s2g5508102tfhr4ix&label=cjt4pr0kd2o350810pujab6u5
